admission_path_id,admission_path_text,tree_depth,display_text,logic_node_id,parent_logic_node_id,node_kind,operator,condition_key,measurement,value,unit,original_text,source_quote,review_status
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",3,      - [atomic / IS_TRUE / gait_impairment_condition_present] Gait impairment ( 4 ),log.M083.ad1.6,log.M083.ad1.or,atomic,IS_TRUE,gait_impairment_condition_present,,True,,Gait impairment ( 4 ),Gait impairment ( 4 ),auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",3,"      - [atomic / IS_TRUE / brain_imaging_finding_requiring_inpatient_care_condition_present] Finding on brain imaging that requires inpatient care (eg, edema, threatened herniation) ( 2 ) ( 9 )",log.M083.ad1.7,log.M083.ad1.or,atomic,IS_TRUE,brain_imaging_finding_requiring_inpatient_care_condition_present,,True,,"Finding on brain imaging that requires inpatient care (eg, edema, threatened herniation) ( 2 ) ( 9 )","Finding on brain imaging that requires inpatient care (eg, edema, threatened herniation) ( 2 ) ( 9 )",auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",3,"      - [atomic / IS_TRUE / neurologic_worsening_monitoring_required] Clinical monitoring for neurologic worsening needed (eg, large infarct, posterior circulation infarct) [ C ] ( 2 ) ( 9 ) ( 11 )",log.M083.ad1.8,log.M083.ad1.or,atomic,IS_TRUE,neurologic_worsening_monitoring_required,,True,,"Clinical monitoring for neurologic worsening needed (eg, large infarct, posterior circulation infarct) [ C ] ( 2 ) ( 9 ) ( 11 )","Clinical monitoring for neurologic worsening needed (eg, large infarct, posterior circulation infarct) [ C ] ( 2 ) ( 9 ) ( 11 )",auto_extracted
M083.admission.acute_ischemic_stroke_neurologic_findings,"Acute ischemic stroke with neurologic findings that warrant inpatient care, as indicated by 1 or more of the following",3,"      - [atomic / IS_TRUE / clinical_stability_unclear_condition_present] Clinical stability unclear (eg, recurrent or worsening findings)",log.M083.ad1.9,log.M083.ad1.or,atomic,IS_TRUE,clinical_stability_unclear_condition_present,,True,,"Clinical stability unclear (eg, recurrent or worsening findings)","Clinical stability unclear (eg, recurrent or worsening findings)",auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",0,"PATH: Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",logic.M083.p2.root,,admission_path,,,,,,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following","Acute ischemic stroke [ A ] with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following:",auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",1,"  - [composite / AND] Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",logic.M083.p2.root,,composite,AND,,,,,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following","Acute ischemic stroke [ A ] with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following:",auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",2,    - [context / IS_TRUE / acute_ischemic_stroke_condition_present] Acute ischemic stroke,log.M083.ad2.cx,logic.M083.p2.root,context,IS_TRUE,acute_ischemic_stroke_condition_present,,True,,Acute ischemic stroke,"Acute ischemic stroke [ A ] with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following:",auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",2,"    - [composite / OR] Acute ischemic stroke [ A ] with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following:",log.M083.ad2.or,logic.M083.p2.root,composite,OR,,,,,"Acute ischemic stroke [ A ] with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following:","Acute ischemic stroke [ A ] with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following:",auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",3,      - [atomic / IS_TRUE / hemodynamic_instability_condition_present] Hemodynamic instability ( 2 ) ( 9 ) ( 12 ),log.M083.ad2.0,log.M083.ad2.or,atomic,IS_TRUE,hemodynamic_instability_condition_present,,True,,Hemodynamic instability ( 2 ) ( 9 ) ( 12 ),Hemodynamic instability ( 2 ) ( 9 ) ( 12 ),auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",3,      - [atomic / IS_TRUE / cardiac_arrhythmia_of_immediate_concern_condition_present] Cardiac arrhythmias of immediate concern ( 9 ) ( 13 ) ( 14 ),log.M083.ad2.1,log.M083.ad2.or,atomic,IS_TRUE,cardiac_arrhythmia_of_immediate_concern_condition_present,,True,,Cardiac arrhythmias of immediate concern ( 9 ) ( 13 ) ( 14 ),Cardiac arrhythmias of immediate concern ( 9 ) ( 13 ) ( 14 ),auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",3,"      - [atomic / IS_TRUE / clinically_significant_cardiac_or_vascular_disorder_condition_present] Clinically significant cardiac or vascular disorder identified (eg, on echocardiogram, imaging) that requires inpatient care (eg, severe valvular disease, atrial myxoma, cervical artery dissection) ( 15 )",log.M083.ad2.2,log.M083.ad2.or,atomic,IS_TRUE,clinically_significant_cardiac_or_vascular_disorder_condition_present,,True,,"Clinically significant cardiac or vascular disorder identified (eg, on echocardiogram, imaging) that requires inpatient care (eg, severe valvular disease, atrial myxoma, cervical artery dissection) ( 15 )","Clinically significant cardiac or vascular disorder identified (eg, on echocardiogram, imaging) that requires inpatient care (eg, severe valvular disease, atrial myxoma, cervical artery dissection) ( 15 )",auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",3,      - [atomic / IS_TRUE / cerebral_venous_thrombosis_condition_present] Ischemic stroke due to cerebral venous thrombosis [ D ] ( 1 ) ( 16 ),log.M083.ad2.3,log.M083.ad2.or,atomic,IS_TRUE,cerebral_venous_thrombosis_condition_present,,True,,Ischemic stroke due to cerebral venous thrombosis [ D ] ( 1 ) ( 16 ),Ischemic stroke due to cerebral venous thrombosis [ D ] ( 1 ) ( 16 ),auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",3,"      - [atomic / IS_TRUE / respiratory_abnormality_condition_present] Respiratory abnormalities (eg, Hypoxemia , impaired airway protection) ( 2 )",log.M083.ad2.4,log.M083.ad2.or,atomic,IS_TRUE,respiratory_abnormality_condition_present,,True,,"Respiratory abnormalities (eg, Hypoxemia , impaired airway protection) ( 2 )","Respiratory abnormalities (eg, Hypoxemia , impaired airway protection) ( 2 )",auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",3,"      - [atomic / IS_TRUE / prolonged_cardiac_telemetry_monitoring_required] Prolonged cardiac telemetry monitoring needed (eg, beyond observation care time frame) due to concern for Dangerous arrhythmia (ie, not in effort to detect atrial fibrillation) [ G ]",log.M083.ad2.5,log.M083.ad2.or,atomic,IS_TRUE,prolonged_cardiac_telemetry_monitoring_required,,True,,"Prolonged cardiac telemetry monitoring needed (eg, beyond observation care time frame) due to concern for Dangerous arrhythmia (ie, not in effort to detect atrial fibrillation) [ G ]","Prolonged cardiac telemetry monitoring needed (eg, beyond observation care time frame) due to concern for Dangerous arrhythmia (ie, not in effort to detect atrial fibrillation) [ G ]",auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",3,      - [atomic / IS_TRUE / suspected_vasculitis_condition_present] Suspected vasculitis ( 21 ) ( 22 ),log.M083.ad2.6,log.M083.ad2.or,atomic,IS_TRUE,suspected_vasculitis_condition_present,,True,,Suspected vasculitis ( 21 ) ( 22 ),Suspected vasculitis ( 21 ) ( 22 ),auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",3,"      - [composite / OR] Severe hypertension (SBP greater than 180 mm Hg or DBP greater than 120 mm Hg, or greater than the 95th percentile for age, sex, and height plus 30 mm Hg in pediatric patients [ E ] [ F ] ) ( 2 ) ( 4 ) ( 17 ) ( 18 )",log.M083.ad2.htn.or,log.M083.ad2.or,composite,OR,,,,,"Severe hypertension (SBP greater than 180 mm Hg or DBP greater than 120 mm Hg, or greater than the 95th percentile for age, sex, and height plus 30 mm Hg in pediatric patients [ E ] [ F ] ) ( 2 ) ( 4 ) ( 17 ) ( 18 )","Severe hypertension (SBP greater than 180 mm Hg or DBP greater than 120 mm Hg, or greater than the 95th percentile for age, sex, and height plus 30 mm Hg in pediatric patients [ E ] [ F ] ) ( 2 ) ( 4 ) ( 17 ) ( 18 )",auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",4,        - [atomic / > / systolic_blood_pressure_mmhg] Systolic blood pressure greater than 180 mm Hg,log.M083.ad2.htn.sbp,log.M083.ad2.htn.or,atomic,>,systolic_blood_pressure_mmhg,SBP,180,mmHg,Systolic blood pressure greater than 180 mm Hg,"Severe hypertension (SBP greater than 180 mm Hg or DBP greater than 120 mm Hg, or greater than the 95th percentile for age, sex, and height plus 30 mm Hg in pediatric patients [ E ] [ F ] ) ( 2 ) ( 4 ) ( 17 ) ( 18 )",auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",4,        - [atomic / > / diastolic_blood_pressure_mmhg] Diastolic blood pressure greater than 120 mm Hg,log.M083.ad2.htn.dbp,log.M083.ad2.htn.or,atomic,>,diastolic_blood_pressure_mmhg,DBP,120,mmHg,Diastolic blood pressure greater than 120 mm Hg,"Severe hypertension (SBP greater than 180 mm Hg or DBP greater than 120 mm Hg, or greater than the 95th percentile for age, sex, and height plus 30 mm Hg in pediatric patients [ E ] [ F ] ) ( 2 ) ( 4 ) ( 17 ) ( 18 )",auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",4,"        - [atomic / IS_TRUE / pediatric_severe_hypertension_threshold_condition_present] Severe hypertension (SBP greater than 180 mm Hg or DBP greater than 120 mm Hg, or greater than the 95th percentile for age, sex, and height plus 30 mm Hg in pediatric patients [ E ] [ F ] ) ( 2 ) ( 4 ) ( 17 ) ( 18 )",log.M083.ad2.htn.ped,log.M083.ad2.htn.or,atomic,IS_TRUE,pediatric_severe_hypertension_threshold_condition_present,,True,,"Severe hypertension (SBP greater than 180 mm Hg or DBP greater than 120 mm Hg, or greater than the 95th percentile for age, sex, and height plus 30 mm Hg in pediatric patients [ E ] [ F ] ) ( 2 ) ( 4 ) ( 17 ) ( 18 )","Severe hypertension (SBP greater than 180 mm Hg or DBP greater than 120 mm Hg, or greater than the 95th percentile for age, sex, and height plus 30 mm Hg in pediatric patients [ E ] [ F ] ) ( 2 ) ( 4 ) ( 17 ) ( 18 )",needs_review
M083.admission.thrombolysis_or_thrombectomy_performed_or_planned,Thrombolysis or thrombectomy performed or planned,0,PATH: Thrombolysis or thrombectomy performed or planned,logic.M083.p3.root,,admission_path,,,,,,Thrombolysis or thrombectomy performed or planned,Thrombolysis or thrombectomy performed or planned [ H ] ( 2 ) ( 23 ) ( 24 ),auto_extracted
M083.admission.thrombolysis_or_thrombectomy_performed_or_planned,Thrombolysis or thrombectomy performed or planned,1,  - [atomic / IS_TRUE / thrombolysis_or_thrombectomy_performed_or_planned_condition_present] Thrombolysis or thrombectomy performed or planned [ H ] ( 2 ) ( 23 ) ( 24 ),logic.M083.p3.root,,atomic,IS_TRUE,thrombolysis_or_thrombectomy_performed_or_planned_condition_present,,True,,Thrombolysis or thrombectomy performed or planned [ H ] ( 2 ) ( 23 ) ( 24 ),Thrombolysis or thrombectomy performed or planned [ H ] ( 2 ) ( 23 ) ( 24 ),auto_extracted
