admission_path_id,admission_path_text,path_root_logic,context_condition_key,context_text,criteria_group,atomic_condition_key,atomic_operator,measurement,value,unit,atomic_original_text,source_quote,review_status
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",AND,,,"Acute ischemic stroke [ A ] with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following:",hemodynamic_instability_condition_present,IS_TRUE,,true,,Hemodynamic instability ( 2 ) ( 9 ) ( 12 ),Hemodynamic instability ( 2 ) ( 9 ) ( 12 ),auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",AND,,,"Acute ischemic stroke [ A ] with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following:",cardiac_arrhythmia_of_immediate_concern_condition_present,IS_TRUE,,true,,Cardiac arrhythmias of immediate concern ( 9 ) ( 13 ) ( 14 ),Cardiac arrhythmias of immediate concern ( 9 ) ( 13 ) ( 14 ),auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",AND,,,"Acute ischemic stroke [ A ] with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following:",clinically_significant_cardiac_or_vascular_disorder_condition_present,IS_TRUE,,true,,"Clinically significant cardiac or vascular disorder identified (eg, on echocardiogram, imaging) that requires inpatient care (eg, severe valvular disease, atrial myxoma, cervical artery dissection) ( 15 )","Clinically significant cardiac or vascular disorder identified (eg, on echocardiogram, imaging) that requires inpatient care (eg, severe valvular disease, atrial myxoma, cervical artery dissection) ( 15 )",auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",AND,,,"Acute ischemic stroke [ A ] with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following:",cerebral_venous_thrombosis_condition_present,IS_TRUE,,true,,Ischemic stroke due to cerebral venous thrombosis [ D ] ( 1 ) ( 16 ),Ischemic stroke due to cerebral venous thrombosis [ D ] ( 1 ) ( 16 ),auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",AND,,,"Acute ischemic stroke [ A ] with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following:",respiratory_abnormality_condition_present,IS_TRUE,,true,,"Respiratory abnormalities (eg, Hypoxemia , impaired airway protection) ( 2 )","Respiratory abnormalities (eg, Hypoxemia , impaired airway protection) ( 2 )",auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",AND,,,"Acute ischemic stroke [ A ] with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following:",prolonged_cardiac_telemetry_monitoring_required,IS_TRUE,,true,,"Prolonged cardiac telemetry monitoring needed (eg, beyond observation care time frame) due to concern for Dangerous arrhythmia (ie, not in effort to detect atrial fibrillation) [ G ]","Prolonged cardiac telemetry monitoring needed (eg, beyond observation care time frame) due to concern for Dangerous arrhythmia (ie, not in effort to detect atrial fibrillation) [ G ]",auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",AND,,,"Acute ischemic stroke [ A ] with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following:",suspected_vasculitis_condition_present,IS_TRUE,,true,,Suspected vasculitis ( 21 ) ( 22 ),Suspected vasculitis ( 21 ) ( 22 ),auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",AND,,,"Severe hypertension (SBP greater than 180 mm Hg or DBP greater than 120 mm Hg, or greater than the 95th percentile for age, sex, and height plus 30 mm Hg in pediatric patients [ E ] [ F ] ) ( 2 ) ( 4 ) ( 17 ) ( 18 )",systolic_blood_pressure_mmhg,>,SBP,180,mmHg,Systolic blood pressure greater than 180 mm Hg,"Severe hypertension (SBP greater than 180 mm Hg or DBP greater than 120 mm Hg, or greater than the 95th percentile for age, sex, and height plus 30 mm Hg in pediatric patients [ E ] [ F ] ) ( 2 ) ( 4 ) ( 17 ) ( 18 )",auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",AND,,,"Severe hypertension (SBP greater than 180 mm Hg or DBP greater than 120 mm Hg, or greater than the 95th percentile for age, sex, and height plus 30 mm Hg in pediatric patients [ E ] [ F ] ) ( 2 ) ( 4 ) ( 17 ) ( 18 )",diastolic_blood_pressure_mmhg,>,DBP,120,mmHg,Diastolic blood pressure greater than 120 mm Hg,"Severe hypertension (SBP greater than 180 mm Hg or DBP greater than 120 mm Hg, or greater than the 95th percentile for age, sex, and height plus 30 mm Hg in pediatric patients [ E ] [ F ] ) ( 2 ) ( 4 ) ( 17 ) ( 18 )",auto_extracted
M083.admission.acute_ischemic_stroke_clinical_need_monitoring,"Acute ischemic stroke with clinical need for inpatient care or monitoring, as indicated by 1 or more of the following",AND,,,"Severe hypertension (SBP greater than 180 mm Hg or DBP greater than 120 mm Hg, or greater than the 95th percentile for age, sex, and height plus 30 mm Hg in pediatric patients [ E ] [ F ] ) ( 2 ) ( 4 ) ( 17 ) ( 18 )",pediatric_severe_hypertension_threshold_condition_present,IS_TRUE,,true,,"Severe hypertension (SBP greater than 180 mm Hg or DBP greater than 120 mm Hg, or greater than the 95th percentile for age, sex, and height plus 30 mm Hg in pediatric patients [ E ] [ F ] ) ( 2 ) ( 4 ) ( 17 ) ( 18 )","Severe hypertension (SBP greater than 180 mm Hg or DBP greater than 120 mm Hg, or greater than the 95th percentile for age, sex, and height plus 30 mm Hg in pediatric patients [ E ] [ F ] ) ( 2 ) ( 4 ) ( 17 ) ( 18 )",needs_review
M083.admission.thrombolysis_or_thrombectomy_performed_or_planned,Thrombolysis or thrombectomy performed or planned,,,,,thrombolysis_or_thrombectomy_performed_or_planned_condition_present,IS_TRUE,,true,,Thrombolysis or thrombectomy performed or planned [ H ] ( 2 ) ( 23 ) ( 24 ),Thrombolysis or thrombectomy performed or planned [ H ] ( 2 ) ( 23 ) ( 24 ),auto_extracted
