condition_key,condition_role,domain,node_kind,operator,measurement,value,unit,linked_domain_node_id,linked_logic_node_id,original_text,review_status
nihss_score,atomic_fact,admission,atomic,>,NIHSS,2,score,M083.admission.acute_ischemic_stroke_neurologic_findings,log.M083.ad1.0,National Institutes of Health Stroke Scale (NIHSS) score greater than 2 [ B ] ( 2 ) ( 9 ),auto_extracted
hemorrhagic_transformation_condition_present,atomic_fact,admission,atomic,IS_TRUE,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,log.M083.ad1.1,Evidence of hemorrhagic transformation ( 4 ) ( 9 ),auto_extracted
altered_mental_status_condition_present,atomic_fact,admission,atomic,IS_TRUE,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,log.M083.ad1.2,Altered mental status ( 10 ),auto_extracted
dysphagia_evaluation_required,atomic_fact,admission,atomic,IS_TRUE,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,log.M083.ad1.3,"Dysphagia that warrants evaluation (eg, aspiration risk suspected) ( 2 ) ( 9 )",auto_extracted
significant_limb_weakness_condition_present,atomic_fact,admission,atomic,IS_TRUE,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,log.M083.ad1.4,"Significant arm or leg weakness (eg, limiting movement against gravity) ( 4 )",auto_extracted
aphasia_condition_present,atomic_fact,admission,atomic,IS_TRUE,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,log.M083.ad1.5,Aphasia ( 4 ),auto_extracted
gait_impairment_condition_present,atomic_fact,admission,atomic,IS_TRUE,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,log.M083.ad1.6,Gait impairment ( 4 ),auto_extracted
brain_imaging_finding_requiring_inpatient_care_condition_present,atomic_fact,admission,atomic,IS_TRUE,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,log.M083.ad1.7,"Finding on brain imaging that requires inpatient care (eg, edema, threatened herniation) ( 2 ) ( 9 )",auto_extracted
neurologic_worsening_monitoring_required,atomic_fact,admission,atomic,IS_TRUE,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,log.M083.ad1.8,"Clinical monitoring for neurologic worsening needed (eg, large infarct, posterior circulation infarct) [ C ] ( 2 ) ( 9 ) ( 11 )",auto_extracted
clinical_stability_unclear_condition_present,atomic_fact,admission,atomic,IS_TRUE,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,log.M083.ad1.9,"Clinical stability unclear (eg, recurrent or worsening findings)",auto_extracted
acute_ischemic_stroke_condition_present,context,admission,context,IS_TRUE,,true,,M083.admission.acute_ischemic_stroke_neurologic_findings,log.M083.ad1.cx,Acute ischemic stroke,auto_extracted
thrombolysis_or_thrombectomy_performed_or_planned_condition_present,atomic_fact,admission,atomic,IS_TRUE,,true,,M083.admission.thrombolysis_or_thrombectomy_performed_or_planned,logic.M083.p3.root,Thrombolysis or thrombectomy performed or planned [ H ] ( 2 ) ( 23 ) ( 24 ),auto_extracted
